ID,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
1,Cash loans,F,N,Y,1,315000,983299.5,41791.5,904500,Family,State servant,Secondary / secondary special,Married,House / apartment,0.025164,-16696,-2117,-5341,-233,,1,1,0,1,0,0,Medicine staff,3,2,2,MONDAY,14,0,0,0,0,0,0,Other,0.684887248,0.638623711,0.579727423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,-1541,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2,Cash loans,F,Y,Y,0,81000,904500,38452.5,904500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018209,-23124,365243,-15064,-4550,29,1,0,0,1,0,0,,2,3,3,THURSDAY,8,0,0,0,0,0,0,XNA,,0.486496469,0.617826147,0.0907,0.0984,0.9791,,,0,0.2069,0.1667,,0.0676,,0.0556,,0.0165,0.0924,0.1021,0.9791,,,0,0.2069,0.1667,,0.0691,,0.058,,0.0175,0.0916,0.0984,0.9791,,,0,0.2069,0.1667,,0.0687,,0.0566,,0.0169,,block of flats,0.0684,Panel,No,1,0,1,0,-2624,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Cash loans,M,Y,Y,0,135000,239850,23850,225000,Unaccompanied,Working,Lower secondary,Married,House / apartment,0.01885,-19704,-8448,-8391,-3238,20,1,1,0,1,0,0,,2,2,2,WEDNESDAY,17,0,0,0,0,0,0,Industry: type 9,,0.21133418,0.799296783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4,Cash loans,M,N,Y,0,186750,733315.5,40945.5,679500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.010556,-23774,365243,-1495,-1503,,1,0,0,1,0,0,,2,3,3,MONDAY,13,0,0,0,0,0,0,XNA,0.794359177,0.628005657,0.572682505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,-303,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Cash loans,F,N,Y,0,135000,724981.5,30717,648000,Family,Working,Secondary / secondary special,Married,House / apartment,0.020246,-20818,-2440,-3416,-4149,,1,1,0,1,0,0,Laborers,2,3,3,SATURDAY,6,0,0,0,0,0,0,Construction,,0.603492835,0.220094645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1550,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
6,Cash loans,F,N,N,1,180000,724500,30825,724500,Unaccompanied,Working,Secondary / secondary special,Single / not married,Rented apartment,0.01452,-13100,-2013,-1962,-4212,,1,1,0,1,0,1,,2,2,2,MONDAY,13,0,0,0,1,1,0,Business Entity Type 3,0.353752037,0.397515883,0.252598698,0.0021,,0.9831,,,,,0,,,,,,,0.0021,,0.9831,,,,,0,,,,,,,0.0021,,0.9831,,,,,0,,,,,,,,,0.0024,,No,0,0,0,0,-1950,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
7,Cash loans,F,Y,Y,0,225000,770292,30676.5,688500,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.018634,-17645,-2373,-8962,-1065,12,1,1,0,1,0,0,Accountants,2,2,2,FRIDAY,9,0,0,0,0,1,1,Business Entity Type 3,,0.252722706,0.712155155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1678,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cash loans,F,N,Y,0,270000,307944,28624.5,292500,Unaccompanied,Working,Higher education,Married,House / apartment,0.072508,-15521,-5146,-2111,-4849,,1,1,0,1,1,0,Core staff,2,1,1,SATURDAY,18,0,0,0,0,0,0,School,0.727633073,0.753204936,,0.2268,0.1148,0.994,0.9184,,0.32,0.1379,0.5417,,0,0.0967,0.1403,0.0193,0.0178,0.2311,0.1191,0.994,0.9216,,0.3222,0.1379,0.5417,,0,0.1056,0.1462,0.0195,0.0189,0.229,0.1148,0.994,0.9195,,0.32,0.1379,0.5417,,0,0.0983,0.1429,0.0194,0.0182,,block of flats,0.1972,Panel,No,0,0,0,0,-174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Cash loans,F,N,N,1,54000,480060,23476.5,337500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008474,-10792,-2037,-549,-3347,,1,1,0,1,0,1,Cleaning staff,3,2,2,FRIDAY,10,0,0,0,0,0,0,Government,0.137422396,0.012852841,0.16146308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,Revolving loans,F,N,N,0,225000,1350000,67500,1350000,Family,Commercial associate,Higher education,Married,House / apartment,0.022625,-11519,-2885,-1251,-3835,,1,1,0,1,0,0,Core staff,2,2,2,MONDAY,17,0,0,0,0,0,0,Business Entity Type 1,0.734573434,0.708076448,0.617826147,0.2959,0.1799,0.9841,0.7824,0.0619,0.48,0.2069,0.4583,0.5,0.4178,0.2412,0.3,0,0,0.3015,0.1867,0.9841,0.7909,0.0625,0.4834,0.2069,0.4583,0.5,0.4273,0.2635,0.3126,0,0,0.2987,0.1799,0.9841,0.7853,0.0623,0.48,0.2069,0.4583,0.5,0.4251,0.2454,0.3054,0,0,reg oper account,block of flats,0.3121,Panel,No,0,0,0,0,-539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
